A.F.P.,Valor Cuota,Valor del Patrimonio,Fecha,Fondo
CAPITAL,"64.922,48",5.327.144.640.559,04-Junio-2024,A
CUPRUM,"67.818,79",6.300.619.425.979,04-Junio-2024,A
HABITAT,"69.261,34",7.874.499.286.777,04-Junio-2024,A
MODELO,"66.322,68",1.872.882.980.566,04-Junio-2024,A
PLANVITAL,"63.430,75",1.105.936.327.594,04-Junio-2024,A
PROVIDA,"67.678,30",4.396.305.089.055,04-Junio-2024,A
UNO,"68.824,84",302.643.302.616,04-Junio-2024,A
CAPITAL,"57.559,25",5.855.310.993.610,04-Junio-2024,B
CUPRUM,"59.269,01",5.735.874.743.485,04-Junio-2024,B
HABITAT,"60.826,77",7.564.353.820.343,04-Junio-2024,B
MODELO,"56.157,43",4.464.801.865.589,04-Junio-2024,B
PLANVITAL,"57.407,47",2.818.586.127.419,04-Junio-2024,B
PROVIDA,"56.674,64",6.001.493.856.241,04-Junio-2024,B
UNO,"57.524,26",751.309.468.711,04-Junio-2024,B
CAPITAL,"56.891,17",10.570.288.097.536,04-Junio-2024,C
CUPRUM,"64.532,81",10.536.796.062.874,04-Junio-2024,C
HABITAT,"64.940,21",18.141.651.868.414,04-Junio-2024,C
MODELO,"60.718,25",2.946.099.379.729,04-Junio-2024,C
PLANVITAL,"112.598,14",2.759.244.625.200,04-Junio-2024,C
PROVIDA,"54.437,78",12.653.352.667.939,04-Junio-2024,C
UNO,"61.256,67",426.950.636.198,04-Junio-2024,C
CAPITAL,"45.590,11",6.106.703.607.978,04-Junio-2024,D
CUPRUM,"47.843,28",3.862.909.059.457,04-Junio-2024,D
HABITAT,"48.743,72",7.375.358.461.865,04-Junio-2024,D
MODELO,"45.488,28",720.449.477.167,04-Junio-2024,D
PLANVITAL,"43.985,67",1.241.123.106.497,04-Junio-2024,D
PROVIDA,"44.042,23",9.457.128.057.261,04-Junio-2024,D
UNO,"48.627,50",93.254.222.904,04-Junio-2024,D
CAPITAL,"56.077,35",4.561.424.016.212,04-Junio-2024,E
CUPRUM,"58.088,62",4.049.403.525.106,04-Junio-2024,E
HABITAT,"53.306,09",5.504.813.397.091,04-Junio-2024,E
MODELO,"56.746,66",1.551.473.751.148,04-Junio-2024,E
PLANVITAL,"89.653,55",1.124.110.846.966,04-Junio-2024,E
PROVIDA,"52.377,33",3.739.806.544.669,04-Junio-2024,E
UNO,"57.601,92",228.510.157.948,04-Junio-2024,E
