A.F.P.,Valor Cuota,Valor del Patrimonio,Fecha,Fondo
CAPITAL,"65.533,84",5.386.148.679.571,09-Junio-2024,A
CUPRUM,"68.484,48",6.369.439.857.834,09-Junio-2024,A
HABITAT,"69.923,63",7.963.762.368.890,09-Junio-2024,A
MODELO,"66.938,00",1.899.054.518.643,09-Junio-2024,A
PLANVITAL,"64.002,60",1.119.987.913.620,09-Junio-2024,A
PROVIDA,"68.328,78",4.449.743.335.308,09-Junio-2024,A
UNO,"69.389,07",306.914.943.934,09-Junio-2024,A
CAPITAL,"58.072,90",5.916.016.192.311,09-Junio-2024,B
CUPRUM,"59.828,46",5.792.065.951.372,09-Junio-2024,B
HABITAT,"61.392,00",7.645.557.150.281,09-Junio-2024,B
MODELO,"56.647,06",4.551.432.245.466,09-Junio-2024,B
PLANVITAL,"57.898,41",2.876.215.729.914,09-Junio-2024,B
PROVIDA,"57.189,22",6.069.182.183.102,09-Junio-2024,B
UNO,"57.986,89",770.716.117.506,09-Junio-2024,B
CAPITAL,"57.397,03",10.672.452.230.338,09-Junio-2024,C
CUPRUM,"65.141,66",10.634.643.369.125,09-Junio-2024,C
HABITAT,"65.528,99",18.319.636.707.581,09-Junio-2024,C
MODELO,"61.238,61",2.992.833.035.419,09-Junio-2024,C
PLANVITAL,"113.533,00",2.790.205.980.448,09-Junio-2024,C
PROVIDA,"54.922,15",12.779.533.235.859,09-Junio-2024,C
UNO,"61.750,41",434.958.409.489,09-Junio-2024,C
CAPITAL,"45.999,60",6.160.960.681.550,09-Junio-2024,D
CUPRUM,"48.299,53",3.892.387.448.857,09-Junio-2024,D
HABITAT,"49.194,98",7.442.813.818.556,09-Junio-2024,D
MODELO,"45.848,97",729.034.597.214,09-Junio-2024,D
PLANVITAL,"44.354,64",1.251.902.996.938,09-Junio-2024,D
PROVIDA,"44.431,86",9.545.943.941.115,09-Junio-2024,D
UNO,"48.995,29",94.694.225.656,09-Junio-2024,D
CAPITAL,"56.570,97",4.602.759.718.065,09-Junio-2024,E
CUPRUM,"58.613,28",4.080.086.176.470,09-Junio-2024,E
HABITAT,"53.791,40",5.556.085.639.465,09-Junio-2024,E
MODELO,"57.215,86",1.571.494.986.673,09-Junio-2024,E
PLANVITAL,"90.360,26",1.134.927.789.102,09-Junio-2024,E
PROVIDA,"52.843,24",3.775.958.462.232,09-Junio-2024,E
UNO,"58.048,00",231.337.155.995,09-Junio-2024,E
