A.F.P.,Valor Cuota,Valor del Patrimonio,Fecha,Fondo
CAPITAL,"64.699,86",5.318.561.275.118,05-Junio-2024,A
CUPRUM,"67.604,50",6.288.010.761.992,05-Junio-2024,A
HABITAT,"69.062,17",7.865.227.374.849,05-Junio-2024,A
MODELO,"66.096,78",1.866.852.984.588,05-Junio-2024,A
PLANVITAL,"63.217,64",1.102.398.174.923,05-Junio-2024,A
PROVIDA,"67.446,94",4.381.236.814.716,05-Junio-2024,A
UNO,"68.593,06",303.289.013.213,05-Junio-2024,A
CAPITAL,"57.454,56",5.855.335.025.460,05-Junio-2024,B
CUPRUM,"59.168,36",5.728.219.098.607,05-Junio-2024,B
HABITAT,"60.749,62",7.567.543.180.736,05-Junio-2024,B
MODELO,"56.055,47",4.456.919.826.925,05-Junio-2024,B
PLANVITAL,"57.313,31",2.814.562.518.739,05-Junio-2024,B
PROVIDA,"56.573,59",5.990.665.599.557,05-Junio-2024,B
UNO,"57.421,46",762.605.602.026,05-Junio-2024,B
CAPITAL,"56.908,58",10.585.114.797.613,05-Junio-2024,C
CUPRUM,"64.576,88",10.535.752.964.908,05-Junio-2024,C
HABITAT,"64.999,57",18.207.948.601.916,05-Junio-2024,C
MODELO,"60.738,62",2.947.007.005.920,05-Junio-2024,C
PLANVITAL,"112.649,23",2.759.753.909.426,05-Junio-2024,C
PROVIDA,"54.461,97",12.659.036.357.795,05-Junio-2024,C
UNO,"61.292,91",431.456.941.571,05-Junio-2024,C
CAPITAL,"45.729,49",6.128.915.565.823,05-Junio-2024,D
CUPRUM,"48.004,43",3.868.832.503.989,05-Junio-2024,D
HABITAT,"48.918,07",7.403.052.150.876,05-Junio-2024,D
MODELO,"45.614,06",722.206.626.711,05-Junio-2024,D
PLANVITAL,"44.124,22",1.244.706.254.150,05-Junio-2024,D
PROVIDA,"44.166,74",9.485.087.103.260,05-Junio-2024,D
UNO,"48.761,55",94.188.944.837,05-Junio-2024,D
CAPITAL,"56.319,33",4.587.336.358.458,05-Junio-2024,E
CUPRUM,"58.355,74",4.062.502.429.137,05-Junio-2024,E
HABITAT,"53.542,48",5.533.549.440.256,05-Junio-2024,E
MODELO,"56.968,44",1.557.152.084.577,05-Junio-2024,E
PLANVITAL,"90.011,51",1.128.209.809.965,05-Junio-2024,E
PROVIDA,"52.608,16",3.756.221.931.428,05-Junio-2024,E
UNO,"57.811,40",230.488.058.855,05-Junio-2024,E
