A.F.P.,Valor Cuota,Valor del Patrimonio,Fecha,Fondo
CAPITAL,"65642,62",(*),12-Junio-2024,A
CUPRUM,*,(*),12-Junio-2024,A
HABITAT,"69.994,97",7.975.206.388.425,12-Junio-2024,A
MODELO,"66994,72",(*),12-Junio-2024,A
PLANVITAL,"64045,6",(*),12-Junio-2024,A
PROVIDA,"68391,95",(*),12-Junio-2024,A
UNO,*,(*),12-Junio-2024,A
CAPITAL,"58108,67",(*),12-Junio-2024,B
CUPRUM,*,(*),12-Junio-2024,B
HABITAT,"61.378,86",7.641.331.516.061,12-Junio-2024,B
MODELO,"56643,07",(*),12-Junio-2024,B
PLANVITAL,"57888,2",(*),12-Junio-2024,B
PROVIDA,"57186,24",(*),12-Junio-2024,B
UNO,*,(*),12-Junio-2024,B
CAPITAL,"57282,3",(*),12-Junio-2024,C
CUPRUM,*,(*),12-Junio-2024,C
HABITAT,"65.353,66",18.255.358.304.460,12-Junio-2024,C
MODELO,"61107,53",(*),12-Junio-2024,C
PLANVITAL,"113270,37",(*),12-Junio-2024,C
PROVIDA,"54779,14",(*),12-Junio-2024,C
UNO,*,(*),12-Junio-2024,C
CAPITAL,(*),(*),12-Junio-2024,D
CUPRUM,*,(*),12-Junio-2024,D
HABITAT,"49.019,02",7.390.853.036.575,12-Junio-2024,D
MODELO,"45734,41",(*),12-Junio-2024,D
PLANVITAL,"44232,17",(*),12-Junio-2024,D
PROVIDA,"44276,15",(*),12-Junio-2024,D
UNO,*,(*),12-Junio-2024,D
CAPITAL,*,(*),12-Junio-2024,E
CUPRUM,*,(*),12-Junio-2024,E
HABITAT,"53.620,39",5.526.411.915.970,12-Junio-2024,E
MODELO,"57073,07",(*),12-Junio-2024,E
PLANVITAL,"90162,53",(*),12-Junio-2024,E
PROVIDA,"52707,71",(*),12-Junio-2024,E
UNO,*,(*),12-Junio-2024,E
