A.F.P.,Valor Cuota,Valor del Patrimonio,Fecha,Fondo
CAPITAL,"65.204,92",5.358.211.436.817,06-Junio-2024,A
CUPRUM,"68.118,71",6.335.269.858.831,06-Junio-2024,A
HABITAT,"69.554,25",7.920.099.501.418,06-Junio-2024,A
MODELO,"66.582,45",1.888.581.858.605,06-Junio-2024,A
PLANVITAL,"63.664,48",1.109.942.177.569,06-Junio-2024,A
PROVIDA,"67.959,73",4.414.333.848.342,06-Junio-2024,A
UNO,"69.044,29",305.323.498.638,06-Junio-2024,A
CAPITAL,"57.835,02",5.892.073.639.623,06-Junio-2024,B
CUPRUM,"59.558,37",5.766.854.408.718,06-Junio-2024,B
HABITAT,"61.125,56",7.614.059.041.551,06-Junio-2024,B
MODELO,"56.402,74",4.530.562.744.552,06-Junio-2024,B
PLANVITAL,"57.643,82",2.830.107.252.722,06-Junio-2024,B
PROVIDA,"56.937,42",6.028.935.703.275,06-Junio-2024,B
UNO,"57.746,82",767.142.881.625,06-Junio-2024,B
CAPITAL,"57.212,02",10.638.013.835.095,06-Junio-2024,C
CUPRUM,"64.914,17",10.594.688.585.211,06-Junio-2024,C
HABITAT,"65.317,33",18.259.550.752.223,06-Junio-2024,C
MODELO,"61.038,18",2.982.701.453.413,06-Junio-2024,C
PLANVITAL,"113.152,84",2.771.475.451.014,06-Junio-2024,C
PROVIDA,"54.733,93",12.723.305.346.929,06-Junio-2024,C
UNO,"61.560,42",433.610.859.007,06-Junio-2024,C
CAPITAL,"45.905,05",6.150.957.889.439,06-Junio-2024,D
CUPRUM,"48.191,75",3.884.358.772.344,06-Junio-2024,D
HABITAT,"49.096,46",7.430.494.614.309,06-Junio-2024,D
MODELO,"45.766,53",727.515.600.258,06-Junio-2024,D
PLANVITAL,"44.257,74",1.248.268.004.870,06-Junio-2024,D
PROVIDA,"44.333,60",9.524.716.665.474,06-Junio-2024,D
UNO,"48.914,85",94.498.469.344,06-Junio-2024,D
CAPITAL,"56.473,60",4.597.018.614.349,06-Junio-2024,E
CUPRUM,"58.527,29",4.074.739.102.896,06-Junio-2024,E
HABITAT,"53.708,04",5.551.463.061.791,06-Junio-2024,E
MODELO,"57.135,18",1.569.265.943.768,06-Junio-2024,E
PLANVITAL,"90.226,03",1.130.898.935.959,06-Junio-2024,E
PROVIDA,"52.757,96",3.767.569.531.944,06-Junio-2024,E
UNO,"57.971,53",230.998.129.085,06-Junio-2024,E
