A.F.P.,Valor Cuota,Valor del Patrimonio,Fecha,Fondo
CAPITAL,*,(*),10-Junio-2024,A
CUPRUM,"68.423,04",6.365.427.981.921,10-Junio-2024,A
HABITAT,"69.875,02",7.957.451.128.178,10-Junio-2024,A
MODELO,"66.914,78",1.898.724.925.129,10-Junio-2024,A
PLANVITAL,"64.019,24",1.119.974.530.183,10-Junio-2024,A
PROVIDA,"68.244,62",4.444.204.950.217,10-Junio-2024,A
UNO,"69.337,53",306.598.906.483,10-Junio-2024,A
CAPITAL,*,(*),10-Junio-2024,B
CUPRUM,"59.739,09",5.783.022.749.513,10-Junio-2024,B
HABITAT,"61.304,86",7.631.846.325.734,10-Junio-2024,B
MODELO,"56.588,56",4.548.470.589.422,10-Junio-2024,B
PLANVITAL,"57.874,46",2.875.833.821.750,10-Junio-2024,B
PROVIDA,"57.098,43",6.059.839.229.857,10-Junio-2024,B
UNO,"57.936,29",770.361.276.230,10-Junio-2024,B
CAPITAL,*,(*),10-Junio-2024,C
CUPRUM,"64.930,98",10.604.927.856.044,10-Junio-2024,C
HABITAT,"65.335,28",18.259.471.620.359,10-Junio-2024,C
MODELO,"61.091,02",2.985.691.570.130,10-Junio-2024,C
PLANVITAL,"113.301,28",2.785.009.000.141,10-Junio-2024,C
PROVIDA,"54.734,58",12.735.213.130.025,10-Junio-2024,C
UNO,"61.590,25",434.162.960.081,10-Junio-2024,C
CAPITAL,*,(*),10-Junio-2024,D
CUPRUM,"48.108,96",3.876.448.313.185,10-Junio-2024,D
HABITAT,"49.009,49",7.404.954.802.581,10-Junio-2024,D
MODELO,"45.719,21",727.500.083.619,10-Junio-2024,D
PLANVITAL,"44.237,43",1.247.943.300.905,10-Junio-2024,D
PROVIDA,"44.261,39",9.507.437.252.811,10-Junio-2024,D
UNO,"48.843,88",94.420.106.492,10-Junio-2024,D
CAPITAL,*,(*),10-Junio-2024,E
CUPRUM,"58.415,58",4.066.284.517.946,10-Junio-2024,E
HABITAT,"53.610,19",5.532.339.879.203,10-Junio-2024,E
MODELO,"57.054,59",1.566.986.617.127,10-Junio-2024,E
PLANVITAL,"90.168,47",1.132.782.607.141,10-Junio-2024,E
PROVIDA,"52.670,48",3.763.083.248.456,10-Junio-2024,E
UNO,"57.909,56",230.872.098.693,10-Junio-2024,E
